date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:16	640/640	---MCZ	200	added ('OK')	text/plain	etag:W/%22606c8b8f-b72%22	https://themexriver.com/robots.txt		(from )
09:33:17	366001/366001	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2004:03:17%20GMT	https://themexriver.com/appilo-theme/it-solution/	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/index.html	(from )
09:33:18	1820/1820	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2016%20Feb%202021%2005:59:49%20GMT	https://themexriver.com/appilo-theme/it-solution/?feed=comments-rss2	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/indexa6da.html	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:18	58171/58171	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Apr%202021%2009:30:33%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-includes/css/dist/block-library/style.min9f31.css	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:18	8801/8801	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2013%20Mar%202021%2015:27:54%20GMT	https://themexriver.com/appilo-theme/it-solution/?feed=rss2	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/indexd784.html	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:18	2714/2714	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Mar%202021%2011:00:39%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-includes/css/dist/block-library/theme.min9f31.css	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:20	140889/140889	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Mar%202021%2006:58:44%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/bootstrap.css?ver=5.9	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/bootstrap271b.css	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:20	3581/3581	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Mar%202021%2012:30:35%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/appilo-icons-2/style.css?ver=5.9	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/appilo-icons-2/style271b.css	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:20	2378/2378	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Mar%202021%2012:30:35%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/flaticon1/flaticon.css?ver=5.9	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/flaticon1/flaticon271b.css	(from https://themexriver.com/appilo-theme/it-solution/)
09:33:21	12686/12686	---MCZ	200	added ('OK')	text/css	date:Sun,%2014%20Jun%202020%2012:13:59%20GMT	https://themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/appilo-icons-3/css/flaticon.css?ver=5.9	C:/My%20Web%20Sites/it/themexriver.com/appilo-theme/it-solution/wp-content/themes/appilo/css/plugins/appilo-icons-3/css/flaticon271b.css	(from https://themexriver.com/appilo-theme/it-solution/)
